34,78,0
32,63,0
35,72,0
60,86,1
79,75,1
45,56,0
61,96,1
75,46,1
76,87,1
84,43,1
75,38,0
75,90,1
82,76,1
69,97,1
39,76,0
53,89,1
69,52,1
67,46,0
70,92,1
76,47,1
67,42,0
79,65,1
50,48,0
34,94,1
36,70,0
45,89,1
47,74,0
62,68,1
33,70,0
34,58,0
32,63,0
35,72,0
33,90,0
34,78,0
32,83,0
35,82,0
43,70,0
44,58,0
42,63,0
45,72,0
43,40,0
44,78,0
42,83,0
45,72,0
53,60,0
54,58,0
52,53,0
55,62,0
53,60,0
54,58,0
52,53,0
55,62,0
67,48,0
65,46,0
69,47,0
80,69,1
79,70,1
61,75,1
52,88,1
65,72,1
68,68,1
69,69,1
63,63,1
73,73,1
58,78,1
82,52,1


